"rang";"titre";"pays";"spectateurs";"semaines";"en_cours"
1;"Le Roi lion";"États-Unis";9752589;20;FALSE
2;"Avengers: Endgame";"États-Unis";6942474;22;FALSE
3;"Qu'est-ce qu'on a encore fait au Bon Dieu ?";"France";6711618;17;FALSE
4;"Joker";"États-Unis";5528745;10;TRUE
5;"La Reine des neiges 2";"États-Unis";5149805;4;TRUE
6;"Toy Story 4";"États-Unis";4454443;23;FALSE
7;"Captain Marvel";"États-Unis";3373086;14;FALSE
8;"Dragons 3 : Le Monde caché";"États-Unis";3367445;14;FALSE
9;"Spider-Man: Far From Home";"États-Unis";3226105;15;FALSE
10;"Nous finirons ensemble";"France";2792885;13;FALSE
11;"Maléfique : Le Pouvoir du mal";"États-Unis";2636681;9;TRUE
12;"Once Upon a Time… in Hollywood";"États-Unis";2633106;18;TRUE
13;"Aladdin";"États-Unis";2509590;17;FALSE
14;"Fast and Furious: Hobbs and Shaw";"États-Unis";2433635;11;FALSE
15;"Dumbo";"États-Unis";2394304;20;FALSE
16;"Ralph 2.0";"États-Unis";2339992;13;FALSE
17;"Comme des bêtes 2";"États-Unis";2271152;18;FALSE
18;"Green Book : Sur les routes du sud";"États-Unis";2055324;27;FALSE
19;"Alita: Battle Angel";"États-Unis";2033168;11;FALSE
20;"Hors normes";"France";2026243;8;TRUE
21;"Au nom de la terre";"France";1958931;12;TRUE
22;"Abominable";"États-Unis";1913936;8;TRUE
23;"La Mule";"États-Unis";1849004;14;FALSE
24;"La Vie scolaire";"France";1807233;16;TRUE
25;"Creed 2";"États-Unis";1733124;9;FALSE
26;"Parasite";"Corée du Sud";1686610;28;TRUE
27;"Nicky Larson et le Parfum de Cupidon";"France";1684404;10;FALSE
28;"Pokémon : Détective Pikachu";"États-Unis et Japon";1682046;14;FALSE
29;"Le Chant du loup";"France";1546837;22;FALSE
30;"Ça : Chapitre 2";"États-Unis";1496163;11;FALSE
31;"Le Parc des merveilles";"États-Unis";1412150;16;FALSE
32;"X-Men: Dark Phoenix";"États-Unis";1403901;10;FALSE
33;"Les Misérables";"France";1403889;4;TRUE
34;"J'accuse";"France";1391406;5;TRUE
35;"Donne-moi des ailes";"France";1377831;10;TRUE
36;"Les Invisibles";"France";1345290;16;FALSE
37;"Jumanji: Next Level";"États-Unis";1324308;2;TRUE
38;"Glass";"États-Unis";1290067;12;FALSE
39;"After : Chapitre 1";"États-Unis";1228756;9;FALSE
40;"La Belle Époque";"France";1209325;6;TRUE
41;"C'est quoi cette mamie ?!";"France";1179928;12;FALSE
42;"Shazam!";"États-Unis";1075884;9;FALSE
43;"Joyeuse retraite !";"France";1045617;4;TRUE
44;"Ad Astra";"États-Unis";1039973;12;FALSE
45;"Inséparables";"France";1037582;14;FALSE
46;"Le Mans 66";"États-Unis";1021705;6;TRUE
47;"Tanguy, le retour";"France";1021278;10;FALSE
