"identifiant";"titre";"titre_original";"reprise";"genre";"pays";"entrees";"rang"
18369;"303";NA;FALSE;"Drame";"Allemagne";2215;380
19640;"5 est le numéro parfait";"5 è il numero perfetto ";FALSE;"Thriller";"Italie";9572;362
18682;"90's";"Mid90s";FALSE;"Comédie dramatique";"Etats-Unis";123024;194
18825;"À cause des filles…?";NA;FALSE;"Comédie";"France";18327;352
19644;"À couteaux tirés (2019)";"Knives Out";FALSE;"Thriller";"Etats-Unis";1051181;47
19626;"Abominable";NA;FALSE;"Animation 3D";"Etats-Unis";1958194;25
19526;"Acusada";"Acusada ";FALSE;"Drame";"Argentine";17968;353
18696;"Ad Astra";NA;FALSE;"Science Fiction";"Etats-Unis";1039973;48
19731;"Adults in the Room";NA;FALSE;"Drame";"France";142118;185
19148;"After - Chapitre 1";"After";FALSE;"Romance";"Etats-Unis";1228756;42
19067;"Aïlo : une odyssée en Laponie";NA;FALSE;"Film familial";"France";124502;192
18171;"Aladdin (2019)";NA;FALSE;"Aventure - Action";"Etats-Unis";2509590;15
18752;"Alex, le destin d'un roi";"The Kid Who Would Be King";FALSE;"Fantasy";"Royaume-Uni";80902;250
19408;"Alice et le maire";NA;FALSE;"Comédie dramatique";"France";700885;76
18511;"Alita: Battle Angel";NA;FALSE;"Science Fiction";"Etats-Unis";2033168;22
18783;"All Inclusive";NA;FALSE;"Comédie";"France";814207;64
19321;"Amazing Grace - Aretha Franklin";"Amazing Grace (2019)";FALSE;"Documentaire";"Etats-Unis";34021;312
19376;"Amir et Mina : Les aventures du tapis volant";"Hodja fra Pjort ";FALSE;"Animation";"Danemark";83957;244
19534;"Andy";NA;FALSE;"Comédie";"France";26543;334
19284;"Angry Birds : Copains comme cochons";"The Angry Birds Movie 2";FALSE;"Animation 3D";"Etats-Unis";691339;78
19346;"Anna (2019)";NA;FALSE;"Thriller";"France";716779;73
19134;"Annabelle 3 - La Maison du Mal";"Annabelle Comes Home";FALSE;"Horreur";"Etats-Unis";951245;52
19757;"Apocalypse Now (Final Cut)";NA;TRUE;"Guerre";"Etats-Unis";31458;316
19059;"Apollo 11";NA;FALSE;"Documentaire";"Etats-Unis";8610;364
18633;"Apprentis parents";"Instant Family";FALSE;"Comédie";"Etats-Unis";114973;204
18792;"Arctic";NA;FALSE;"Aventure - Action";"Islande";49464;292
19388;"Ariol prend l’avion (et autres têtes en l’air)";NA;FALSE;"Animation";"France";28921;323
18900;"Asako I & II";"Netemo Sametemo ";FALSE;"Romance";"Japon";101529;220
18896;"Astrid";"Unga Astrid ";FALSE;"Drame";"Suède";29761;319
19627;"Atlantique";NA;FALSE;"Drame";"France";66671;263
19535;"Au nom de la terre";NA;FALSE;"Drame";"France";1975520;24
15189;"Avengers: Endgame";NA;FALSE;"Comicbook";"Etats-Unis";6942474;3
18915;"Ayka";NA;FALSE;"Drame";"Russie";13351;358
19628;"Bacurau";NA;FALSE;"Horreur";"Brésil";100583;223
19398;"Beaux-parents";NA;FALSE;"Comédie";"France";500113;96
18745;"Ben Is Back";"Ben is Back";FALSE;"Drame";"Etats-Unis";132013;189
19485;"Bharat";NA;FALSE;"Drame";"Inde";3972;372
18509;"Bienvenue à Marwen";"Welcome to Marwen";FALSE;"Drame";"Etats-Unis";118974;202
19788;"Bigil";NA;FALSE;"Aventure - Action";"Inde";333633;120
19833;"Black Christmas (2019)";NA;FALSE;"Thriller";"Etats-Unis";127536;191
18740;"Black Snake, la légende du serpent noir";NA;FALSE;"Comédie";"France";174422;173
19087;"Blanche comme Neige (2019)";NA;FALSE;"Comédie";"France";60023;277
19767;"Bonjour le Monde!";NA;FALSE;"Animation";"France";56042;281
18910;"Border";"Grans ";FALSE;"Fantasy";"Suède";89586;237
18667;"Boy Erased";NA;FALSE;"Drame";"Etats-Unis";60270;275
19371;"BrightBurn - L'enfant du mal";"Brightburn";FALSE;"Horreur";"Etats-Unis";166498;176
19643;"Brooklyn Affairs";"Motherless Brooklyn";FALSE;"Thriller";"Etats-Unis";373480;113
19141;"C'est ça l'amour";NA;FALSE;"Drame";"France";102934;217
19513;"C'est quoi cette mamie?!";NA;FALSE;"Comédie";"France";1179928;43
