"identifiant";"titre";"genre";"pays";"entrees";"titre_fr";"reboot"
18682;"90's";"Comédie dramatique";"Etats-Unis";123024;FALSE;FALSE
19644;"À couteaux tirés (2019)";"Thriller";"Etats-Unis";1051181;FALSE;TRUE
19626;"Abominable";"Animation 3D";"Etats-Unis";1958194;TRUE;FALSE
18696;"Ad Astra";"Science Fiction";"Etats-Unis";1039973;TRUE;FALSE
19731;"Adults in the Room";"Drame";"France";142118;TRUE;FALSE
19148;"After - Chapitre 1";"Romance";"Etats-Unis";1228756;FALSE;FALSE
19067;"Aïlo : une odyssée en Laponie";"Film familial";"France";124502;TRUE;FALSE
18171;"Aladdin (2019)";"Aventure - Action";"Etats-Unis";2509590;TRUE;TRUE
18752;"Alex, le destin d'un roi";"Fantasy";"Royaume-Uni";80902;FALSE;FALSE
19408;"Alice et le maire";"Comédie dramatique";"France";700885;TRUE;FALSE
18511;"Alita: Battle Angel";"Science Fiction";"Etats-Unis";2033168;TRUE;FALSE
18783;"All Inclusive";"Comédie";"France";814207;TRUE;FALSE
19376;"Amir et Mina : Les aventures du tapis volant";"Animation";"Danemark";83957;FALSE;FALSE
19534;"Andy";"Comédie";"France";26543;TRUE;FALSE
19284;"Angry Birds : Copains comme cochons";"Animation 3D";"Etats-Unis";691339;FALSE;FALSE
19346;"Anna (2019)";"Thriller";"France";716779;TRUE;TRUE
19134;"Annabelle 3 - La Maison du Mal";"Horreur";"Etats-Unis";951245;FALSE;FALSE
18633;"Apprentis parents";"Comédie";"Etats-Unis";114973;FALSE;FALSE
18792;"Arctic";"Aventure - Action";"Islande";49464;TRUE;FALSE
19388;"Ariol prend l’avion (et autres têtes en l’air)";"Animation";"France";28921;TRUE;FALSE
18900;"Asako I & II";"Romance";"Japon";101529;FALSE;FALSE
18896;"Astrid";"Drame";"Suède";29761;FALSE;FALSE
19627;"Atlantique";"Drame";"France";66671;TRUE;FALSE
19535;"Au nom de la terre";"Drame";"France";1975520;TRUE;FALSE
15189;"Avengers: Endgame";"Comicbook";"Etats-Unis";6942474;TRUE;FALSE
19628;"Bacurau";"Horreur";"Brésil";100583;TRUE;FALSE
19398;"Beaux-parents";"Comédie";"France";500113;TRUE;FALSE
18745;"Ben Is Back";"Drame";"Etats-Unis";132013;TRUE;FALSE
18509;"Bienvenue à Marwen";"Drame";"Etats-Unis";118974;FALSE;FALSE
19788;"Bigil";"Aventure - Action";"Inde";333633;TRUE;FALSE
19833;"Black Christmas (2019)";"Thriller";"Etats-Unis";127536;TRUE;TRUE
18740;"Black Snake, la légende du serpent noir";"Comédie";"France";174422;TRUE;FALSE
19087;"Blanche comme Neige (2019)";"Comédie";"France";60023;TRUE;TRUE
19767;"Bonjour le Monde!";"Animation";"France";56042;TRUE;FALSE
18910;"Border";"Fantasy";"Suède";89586;FALSE;FALSE
18667;"Boy Erased";"Drame";"Etats-Unis";60270;TRUE;FALSE
19371;"BrightBurn - L'enfant du mal";"Horreur";"Etats-Unis";166498;FALSE;FALSE
19643;"Brooklyn Affairs";"Thriller";"Etats-Unis";373480;FALSE;FALSE
19141;"C'est ça l'amour";"Drame";"France";102934;TRUE;FALSE
19513;"C'est quoi cette mamie?!";"Comédie";"France";1179928;TRUE;FALSE
18172;"Ça Chapitre 2";"Horreur";"Etats-Unis";1496163;FALSE;FALSE
19766;"Camille";"Drame";"France";60516;TRUE;FALSE
18563;"Captain Marvel";"Comicbook";"Etats-Unis";3373086;TRUE;FALSE
18532;"Captive State";"Science Fiction";"Etats-Unis";112911;TRUE;FALSE
19653;"Cats";"Musical";"Etats-Unis";52505;TRUE;FALSE
18923;"Celle que vous croyez";"Drame";"France";219953;TRUE;FALSE
19600;"Ceux qui travaillent";"Drame";"France";177706;TRUE;FALSE
18934;"Chamboultout";"Comédie";"France";715266;TRUE;FALSE
19629;"Chambre 212";"Comédie dramatique";"France";380330;TRUE;FALSE
19690;"Chanson Douce";"Drame";"France";217224;TRUE;FALSE
19257;"Charlie's Angels (2019)";"Aventure - Action";"Etats-Unis";231718;TRUE;TRUE
19198;"Child's Play : La poupée du mal";"Horreur";"Etats-Unis";200093;FALSE;FALSE
18840;"Coeurs ennemis";"Drame";"Etats-Unis";100816;FALSE;FALSE
19316;"Cold Blood Legacy - La mémoire du sang";"Aventure - Action";"France";111044;TRUE;FALSE
18512;"Colette";"Drame";"Etats-Unis";178845;TRUE;FALSE
18170;"Comme des bêtes 2";"Animation 3D";"Etats-Unis";2271152;FALSE;FALSE
19417;"Comme si de rien n'était";"Drame";"Allemagne";25604;FALSE;FALSE
19112;"Compañeros";"Aventure - Action";"Uruguay";60720;FALSE;FALSE
18824;"Continuer";"Drame";"France";44173;TRUE;FALSE
18933;"Convoi exceptionnel";"Comédie";"France";122801;TRUE;FALSE
19747;"Countdown (2019)";"Horreur";"Etats-Unis";410983;TRUE;TRUE
19368;"Crawl";"Horreur";"Etats-Unis";471851;TRUE;FALSE
18207;"Creed II";"Aventure - Action";"Etats-Unis";1733124;TRUE;FALSE
18930;"Damien veut changer le monde";"Comédie";"France";113271;TRUE;FALSE
18976;"Dernier amour";"Drame";"France";77111;TRUE;FALSE
18748;"Destroyer";"Thriller";"Etats-Unis";32246;TRUE;FALSE
18784;"Deux fils";"Comédie dramatique";"France";93711;TRUE;FALSE
19594;"Deux moi";"Comédie dramatique";"France";646443;TRUE;FALSE
19432;"Dieu existe, son nom est Petrunya";"Drame";"Macédoine";32870;FALSE;FALSE
19741;"Docteur ?";"Comédie";"France";775059;TRUE;FALSE
19638;"Doctor Sleep";"Thriller";"Etats-Unis";256531;TRUE;FALSE
19630;"Donne-moi des ailes";"Aventure - Action";"France";1436402;TRUE;FALSE
18318;"Dora et la Cité perdue";"Film familial";"Etats-Unis";534256;FALSE;FALSE
18765;"Doubles Vies";"Comédie";"France";151932;TRUE;FALSE
19010;"Douleur et gloire";"Drame";"Espagne";800126;FALSE;FALSE
18862;"Downton Abbey";"Drame";"Royaume-Uni";742509;TRUE;FALSE
18903;"Dragon Ball Super: Broly";"Animation";"Japon";561924;TRUE;FALSE
