"titre";"auteur";"annee_creation";"lieu_exposition";"naissance_deces";"domaine";"technique";"hauteur_cm";"longueur_cm";"annee_acquisition";"type_acquisition";"precisions_acquisitions";"numero_inventaire";"lien_navigart"
"Rome, via de S. Sabina";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Au revers un croquis esquissé d'une vue de ville.Mine de plomb cerné plume - papier blanc mince";13.5;7.3;NA;"Mode d'acquisition non renseigné";"Acquisition";"4474";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007558"
"Moïse frappant le rocher";"Leandro DA PONTE dit Leandro BASSANO";NA;"";"1557, Bassano del Grappa (Italie) - 1622, Venise (Italie)";"Peinture";"Huile sur toile";102;158;NA;"Dépôt Etat";"AcquisitionEtatDépôt au Musée des Beaux-Arts de Nantes en 1809";"12";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004512"
"Arion";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier calque";21.3;13.1;NA;"Mode d'acquisition non renseigné";"Acquisition";"4753";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000066295"
"Le bain Turc";"Jean-Alexandre CORABOEUF";1906;"";"1870, Pouillé-les-Côteaux (Loire-Atlantique, France) - 1947, Paris (France)";"Estampe";"Epreuve avant la lettre d'après Ingres avec, en remarque, le tableau d'Ingres """"Paolo et Francesca da Rimini""""Gravure au burin sur papier";NA;NA;NA;"Mode d'acquisition non renseigné";"Acquisition";"1864";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001542"
"Saint Louis sous les traits de Louis XV, à genoux devant la couronne d'épines";"Charles Antoine COYPEL";1745;"";"1694, Paris (France) - 1752, Paris (France)";"Peinture";"Huile sur toile";149;82.5;NA;"Dépôt Etat";"AcquisitionEtatDépôt au Musée des Beaux-Arts de Nantes en 1804";"616";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005006"
"Prométhée attaché à son rocher avec des vautours autour de lui";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Crayon sur papier";21;21.2;NA;"Mode d'acquisition non renseigné";"Acquisition";"4767";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000066309"
"Le Pausilippe, Naples";"Jules Elie DELAUNAY";1857;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb - papier à dessin rose";23.2;33;NA;"Mode d'acquisition non renseigné";"Acquisition";"4509";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007593"
"Queniquen. Le vieux moulin.";"Henry Wilfrid DEVILLE";1914;"";"1871, Nantes (Loire-Atlantique, France) - 1939, Paris (France)";"Dessin";"Mine de plomb et pierre noire sur papier";24;31.4;1955;"Legs";"Legs de l'artiste en 1955";"6484";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001672"
"Jeune homme debout, profil jambe gauche sur un socle, visage de face";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";28;22;NA;"Mode d'acquisition non renseigné";"Acquisition";"6016";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007845"
"Etude pour le baptême du Christ";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Sanguine sur papier";31;20;NA;"Mode d'acquisition non renseigné";"Acquisition";"5984";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007813"
"Portrait de Théodore-Constant Leray";"Alexis Joseph PERIGNON";1850;"";"1806, Paris (France) - 1882, Paris (France)";"Peinture";"L'ancien député de la Loire-Inférieure (né à Brest en 1795 et mort à Paris en 1849), est debout de face, en costume de contre-amiral ; il tient son chapeau sous le bras gauche. Des vaisseaux à droite ; à gauche, un fort.Huile sur toile";138;106;1851;"Don";"Don Famille de l'amiral en 1851";"1129";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004258"
"L'île Saint-Louis, Paris";"Henry Wilfrid DEVILLE";1929;"";"1871, Nantes (Loire-Atlantique, France) - 1939, Paris (France)";"Estampe";"Estampe, Matrice cuivreEau-forte";21.5;18.3;1949;"Legs";"Legs DEVILLE, Mme veuve en 1949";"3580";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000142933"
"Vieillard assis et lisant";"Jacques SABLET (Jacob-Henry SABLET, dit)";NA;"";"1751, Morges (Suisse) - 1803, Paris (France)";"Peinture";"Huile sur toile";62.5;49.7;1811;"Achat";"Achat en 1811";"696";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005266"
"Château de Saint-Symphorien, Manche";"Jean-Baptiste Olivier de WISMES";NA;"";"1814, Paris (France) - 1887, Nantes (Loire-Atlantique, France)";"Dessin";"Crayon";26;34.5;1955;"Achat";"Achat à la Librairie Bellanger en 1955";"6439";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005917"
"Nancy, 92, Grande rue";"Henry Wilfrid DEVILLE";1935;"";"1871, Nantes (Loire-Atlantique, France) - 1939, Paris (France)";"Dessin";"Mine de plomb, plume et encre sur papier";31.7;24.2;1949;"Legs";"Legs de l'artiste en 1949";"6351";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001657"
"";"Giovanni Battista PIRANESI";NA;"";"1720, Mogliano Veneto (Italie) - 1778, Rome (Italie)";"Estampe";"Estampe, EpreuveGravure n°56Eau-forte sur papier";NA;NA;NA;"Dépôt";"";"";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000136371"
"Façade d'hôtel";"Henry Wilfrid DEVILLE";1938;"";"1871, Nantes (Loire-Atlantique, France) - 1939, Paris (France)";"Estampe";"Estampe, EpreuveEau-forte, tirage sur papier Arches";45.4;31.5;1955;"Mode d'acquisition non renseigné";"Acquisition en 1955";"6530(2)";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000082715"
"Illustration pour Notre-Dame de Paris de V. Hugo";"Luc-Olivier MERSON";1888;"";"1846, Paris (France) - 1920, Paris (France)";"Estampe";"Estampe, IllustrationEau-forte, tirage sur papier Rives filigranné";28;22.5;1925;"Don";"Don de Héritiers Merson en 1925";"2705";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000143170"
"Paysage";"Félix LIONNET";1863;"";"1832, La Châtaigneraie (Vendée, France) - 1896, Nantes (Loire-Atlantique, France)";"Peinture";"Une maison blanche, à mi-côte d'une terrasse ; au premier plan, des cactus.Huile sur bois";16.6;22.5;1906;"Don";"Don Mme Félix Lionnet en 1906";"1085";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004234"
"L'annonciation à la porte ouverte";"Maurice DENIS";1935;"";"1870, Granville (Manche, France) - 1943, Saint-Germain-en-Laye (Yvelines, France)";"Peinture";"Huile sur toile";52.2;67.2;1937;"Achat";"Achat à l'artiste en 1937";"2201";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001614"
"Herunter 476(Vers le bas)";"Vassily KANDINSKY";1929;"Musée d'Arts - Palais - Salle 20";"1866, Moscou (Russie, Empire Russe) - 1944, Neuilly-sur-Seine (Seine, France)";"Peinture";"Huile sur carton";49.5;49.5;1958;"Donation";"Donation de M Gildas Fardel en 1958";"958.7.1.P";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002167"
"Mouvements de lutte";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Fusain, crayon bistre sur papier calque";16.9;10.4;NA;"Mode d'acquisition non renseigné";"Acquisition";"5028";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067493"
"La petite fille aux provisions";"Jean-Emile LABOUREUR";1922;"";"1877, Nantes (Loire-Atlantique, France) - 1943, Pénestin (Morbihan, France)";"Estampe";"Estampe, EpreuveGravure au burin, tirage sur papier Rives";33.8;24.1;1928;"Achat";"Achat à l'artiste en 1928";"2536";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002224"
"Gothic arch, New York";"Henry Wilfrid DEVILLE";NA;"";"1871, Nantes (Loire-Atlantique, France) - 1939, Paris (France)";"Estampe";"Estampe, EpreuveEau-forte, tirage sur papier";34.8;21;1949;"Legs";"Legs DEVILLE, Mme veuve en 1949";"3725(6)";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000082611"
